;Rainfall data for Gauge 1
Gauge_1	4	7	2008	13	0	0
Gauge_1	4	7	2008	13	15	0
Gauge_1	4	7	2008	13	30	0
Gauge_1	4	7	2008	13	45	0
Gauge_1	4	7	2008	14	0	0
Gauge_1	4	7	2008	14	15	0
Gauge_1	4	7	2008	14	30	0
Gauge_1	4	7	2008	14	45	0
Gauge_1	4	7	2008	15	0	0
Gauge_1	4	7	2008	15	15	0
Gauge_1	4	7	2008	15	30	0
Gauge_1	4	7	2008	15	45	0
Gauge_1	4	7	2008	16	0	0
Gauge_1	4	7	2008	16	15	0
Gauge_1	4	7	2008	16	30	0
Gauge_1	4	7	2008	16	45	0
Gauge_1	4	7	2008	17	0	0
Gauge_1	4	7	2008	17	15	0
Gauge_1	4	7	2008	17	30	0
Gauge_1	4	7	2008	17	45	0
Gauge_1	4	7	2008	18	0	0
Gauge_1	4	7	2008	18	15	0
Gauge_1	4	7	2008	18	30	0
Gauge_1	4	7	2008	18	45	0
Gauge_1	4	7	2008	19	0	0
Gauge_1	4	7	2008	19	15	0
Gauge_1	4	7	2008	19	30	0
Gauge_1	4	7	2008	19	45	0
Gauge_1	4	7	2008	20	0	0
Gauge_1	4	7	2008	20	15	0
Gauge_1	4	7	2008	20	30	0
Gauge_1	4	7	2008	20	45	0
Gauge_1	4	7	2008	21	0	0
Gauge_1	4	7	2008	21	15	0
Gauge_1	4	7	2008	21	30	0
Gauge_1	4	7	2008	21	45	0
Gauge_1	4	7	2008	22	0	0
Gauge_1	4	7	2008	22	15	0
Gauge_1	4	7	2008	22	30	0
Gauge_1	4	7	2008	22	45	0
Gauge_1	4	7	2008	23	0	0
Gauge_1	4	7	2008	23	15	0
Gauge_1	4	7	2008	23	30	0
Gauge_1	4	7	2008	23	45	0
Gauge_1	4	8	2008	0	0	0
Gauge_1	4	8	2008	0	15	0
Gauge_1	4	8	2008	0	30	0
Gauge_1	4	8	2008	0	45	0
Gauge_1	4	8	2008	1	0	0
Gauge_1	4	8	2008	1	15	0
Gauge_1	4	8	2008	1	30	0
Gauge_1	4	8	2008	1	45	0
Gauge_1	4	8	2008	2	0	0
Gauge_1	4	8	2008	2	15	0
Gauge_1	4	8	2008	2	30	0
Gauge_1	4	8	2008	2	45	0
Gauge_1	4	8	2008	3	0	0
Gauge_1	4	8	2008	3	15	0
Gauge_1	4	8	2008	3	30	0
Gauge_1	4	8	2008	3	45	0
Gauge_1	4	8	2008	4	0	0
Gauge_1	4	8	2008	4	15	0
Gauge_1	4	8	2008	4	30	0
Gauge_1	4	8	2008	4	45	0
Gauge_1	4	8	2008	5	0	0
Gauge_1	4	8	2008	5	15	0
Gauge_1	4	8	2008	5	30	0
Gauge_1	4	8	2008	5	45	0
Gauge_1	4	8	2008	6	0	0
Gauge_1	4	8	2008	6	15	0
Gauge_1	4	8	2008	6	30	0
Gauge_1	4	8	2008	6	45	0
Gauge_1	4	8	2008	7	0	0
Gauge_1	4	8	2008	7	15	0
Gauge_1	4	8	2008	7	30	0
Gauge_1	4	8	2008	7	45	0
Gauge_1	4	8	2008	8	0	0
Gauge_1	4	8	2008	8	15	0
Gauge_1	4	8	2008	8	30	0
Gauge_1	4	8	2008	8	45	0
Gauge_1	4	8	2008	9	0	0
Gauge_1	4	8	2008	9	15	0
Gauge_1	4	8	2008	9	30	0
Gauge_1	4	8	2008	9	45	0
Gauge_1	4	8	2008	10	0	0
Gauge_1	4	8	2008	10	15	0
Gauge_1	4	8	2008	10	30	0
Gauge_1	4	8	2008	10	45	0
Gauge_1	4	8	2008	11	0	0
Gauge_1	4	8	2008	11	15	0
Gauge_1	4	8	2008	11	30	0
Gauge_1	4	8	2008	11	45	0
Gauge_1	4	8	2008	12	0	0
Gauge_1	4	8	2008	12	15	0
Gauge_1	4	8	2008	12	30	0
Gauge_1	4	8	2008	12	45	0
Gauge_1	4	8	2008	13	0	0
Gauge_1	4	8	2008	13	15	0
Gauge_1	4	8	2008	13	30	0
Gauge_1	4	8	2008	13	45	0
Gauge_1	4	8	2008	14	0	0
Gauge_1	4	8	2008	14	15	0
Gauge_1	4	8	2008	14	30	0
Gauge_1	4	8	2008	14	45	0
Gauge_1	4	8	2008	15	0	0
Gauge_1	4	8	2008	15	15	0
Gauge_1	4	8	2008	15	30	0
Gauge_1	4	8	2008	15	45	0
Gauge_1	4	8	2008	16	0	0
Gauge_1	4	8	2008	16	15	0
Gauge_1	4	8	2008	16	30	0
Gauge_1	4	8	2008	16	45	0
Gauge_1	4	8	2008	17	0	0
Gauge_1	4	8	2008	17	15	0
Gauge_1	4	8	2008	17	30	0
Gauge_1	4	8	2008	17	45	0
Gauge_1	4	8	2008	18	0	0
Gauge_1	4	8	2008	18	15	0
Gauge_1	4	8	2008	18	30	0
Gauge_1	4	8	2008	18	45	0
Gauge_1	4	8	2008	19	0	0
Gauge_1	4	8	2008	19	15	0
Gauge_1	4	8	2008	19	30	0
Gauge_1	4	8	2008	19	45	0
Gauge_1	4	8	2008	20	0	0
Gauge_1	4	8	2008	20	15	0
Gauge_1	4	8	2008	20	30	0
Gauge_1	4	8	2008	20	45	0
Gauge_1	4	8	2008	21	0	0
Gauge_1	4	8	2008	21	15	0
Gauge_1	4	8	2008	21	30	0
Gauge_1	4	8	2008	21	45	0
Gauge_1	4	8	2008	22	0	0
Gauge_1	4	8	2008	22	15	0
Gauge_1	4	8	2008	22	30	0
Gauge_1	4	8	2008	22	45	0
Gauge_1	4	8	2008	23	0	0
Gauge_1	4	8	2008	23	15	0
Gauge_1	4	8	2008	23	30	0
Gauge_1	4	8	2008	23	45	0
Gauge_1	4	9	2008	0	0	0
Gauge_1	4	9	2008	0	15	0
Gauge_1	4	9	2008	0	30	0
Gauge_1	4	9	2008	0	45	0
Gauge_1	4	9	2008	1	0	0
Gauge_1	4	9	2008	1	15	0
Gauge_1	4	9	2008	1	30	0
Gauge_1	4	9	2008	1	45	0
Gauge_1	4	9	2008	2	0	0
Gauge_1	4	9	2008	2	15	0
Gauge_1	4	9	2008	2	30	0
Gauge_1	4	9	2008	2	45	0
Gauge_1	4	9	2008	3	0	0
Gauge_1	4	9	2008	3	15	0
Gauge_1	4	9	2008	3	30	0
Gauge_1	4	9	2008	3	45	0
Gauge_1	4	9	2008	4	0	0
Gauge_1	4	9	2008	4	15	0
Gauge_1	4	9	2008	4	30	0
Gauge_1	4	9	2008	4	45	0
Gauge_1	4	9	2008	5	0	0
Gauge_1	4	9	2008	5	15	0
Gauge_1	4	9	2008	5	30	0
Gauge_1	4	9	2008	5	45	0
Gauge_1	4	9	2008	6	0	0
Gauge_1	4	9	2008	6	15	0
Gauge_1	4	9	2008	6	30	0
Gauge_1	4	9	2008	6	45	0
Gauge_1	4	9	2008	7	0	0
Gauge_1	4	9	2008	7	15	0
Gauge_1	4	9	2008	7	30	0
Gauge_1	4	9	2008	7	45	0
Gauge_1	4	9	2008	8	0	0
Gauge_1	4	9	2008	8	15	0
Gauge_1	4	9	2008	8	30	0
Gauge_1	4	9	2008	8	45	0
Gauge_1	4	9	2008	9	0	0
Gauge_1	4	9	2008	9	15	0
Gauge_1	4	9	2008	9	30	0
Gauge_1	4	9	2008	9	45	0.02
Gauge_1	4	9	2008	10	0	0.04
Gauge_1	4	9	2008	10	15	0.02
Gauge_1	4	9	2008	10	30	0.01
Gauge_1	4	9	2008	10	45	0
Gauge_1	4	9	2008	11	0	0.01
Gauge_1	4	9	2008	11	15	0.01
Gauge_1	4	9	2008	11	30	0
Gauge_1	4	9	2008	11	45	0
Gauge_1	4	9	2008	12	0	0
Gauge_1	4	9	2008	12	15	0
Gauge_1	4	9	2008	12	30	0
Gauge_1	4	9	2008	12	45	0
Gauge_1	4	9	2008	13	0	0
Gauge_1	4	9	2008	13	15	0
Gauge_1	4	9	2008	13	30	0
Gauge_1	4	9	2008	13	45	0
Gauge_1	4	9	2008	14	0	0
Gauge_1	4	9	2008	14	15	0
Gauge_1	4	9	2008	14	30	0
Gauge_1	4	9	2008	14	45	0
Gauge_1	4	9	2008	15	0	0
Gauge_1	4	9	2008	15	15	0
Gauge_1	4	9	2008	15	30	0
Gauge_1	4	9	2008	15	45	0
Gauge_1	4	9	2008	16	0	0
Gauge_1	4	9	2008	16	15	0
Gauge_1	4	9	2008	16	30	0
Gauge_1	4	9	2008	16	45	0
Gauge_1	4	9	2008	17	0	0
Gauge_1	4	9	2008	17	15	0
Gauge_1	4	9	2008	17	30	0
Gauge_1	4	9	2008	17	45	0
Gauge_1	4	9	2008	18	0	0
Gauge_1	4	9	2008	18	15	0
Gauge_1	4	9	2008	18	30	0
Gauge_1	4	9	2008	18	45	0
Gauge_1	4	9	2008	19	0	0
Gauge_1	4	9	2008	19	15	0
Gauge_1	4	9	2008	19	30	0
Gauge_1	4	9	2008	19	45	0
Gauge_1	4	9	2008	20	0	0
Gauge_1	4	9	2008	20	15	0
Gauge_1	4	9	2008	20	30	0
Gauge_1	4	9	2008	20	45	0
Gauge_1	4	9	2008	21	0	0
Gauge_1	4	9	2008	21	15	0
Gauge_1	4	9	2008	21	30	0
Gauge_1	4	9	2008	21	45	0
Gauge_1	4	9	2008	22	0	0
Gauge_1	4	9	2008	22	15	0
Gauge_1	4	9	2008	22	30	0
Gauge_1	4	9	2008	22	45	0
Gauge_1	4	9	2008	23	0	0
Gauge_1	4	9	2008	23	15	0
Gauge_1	4	9	2008	23	30	0
Gauge_1	4	9	2008	23	45	0
Gauge_1	4	10	2008	0	0	0
Gauge_1	4	10	2008	0	15	0
Gauge_1	4	10	2008	0	30	0
Gauge_1	4	10	2008	0	45	0
Gauge_1	4	10	2008	1	0	0
Gauge_1	4	10	2008	1	15	0
Gauge_1	4	10	2008	1	30	0
Gauge_1	4	10	2008	1	45	0
Gauge_1	4	10	2008	2	0	0
Gauge_1	4	10	2008	2	15	0
Gauge_1	4	10	2008	2	30	0
Gauge_1	4	10	2008	2	45	0
Gauge_1	4	10	2008	3	0	0
Gauge_1	4	10	2008	3	15	0
Gauge_1	4	10	2008	3	30	0
Gauge_1	4	10	2008	3	45	0
Gauge_1	4	10	2008	4	0	0
Gauge_1	4	10	2008	4	15	0
Gauge_1	4	10	2008	4	30	0
Gauge_1	4	10	2008	4	45	0
Gauge_1	4	10	2008	5	0	0
Gauge_1	4	10	2008	5	15	0
Gauge_1	4	10	2008	5	30	0
Gauge_1	4	10	2008	5	45	0
Gauge_1	4	10	2008	6	0	0
Gauge_1	4	10	2008	6	15	0
Gauge_1	4	10	2008	6	30	0
Gauge_1	4	10	2008	6	45	0
Gauge_1	4	10	2008	7	0	0
Gauge_1	4	10	2008	7	15	0
Gauge_1	4	10	2008	7	30	0
Gauge_1	4	10	2008	7	45	0
Gauge_1	4	10	2008	8	0	0
Gauge_1	4	10	2008	8	15	0
Gauge_1	4	10	2008	8	30	0
Gauge_1	4	10	2008	8	45	0
Gauge_1	4	10	2008	9	0	0
Gauge_1	4	10	2008	9	15	0
Gauge_1	4	10	2008	9	30	0
Gauge_1	4	10	2008	9	45	0
Gauge_1	4	10	2008	10	0	0
Gauge_1	4	10	2008	10	15	0
Gauge_1	4	10	2008	10	30	0
Gauge_1	4	10	2008	10	45	0
Gauge_1	4	10	2008	11	0	0
Gauge_1	4	10	2008	11	15	0
Gauge_1	4	10	2008	11	30	0
Gauge_1	4	10	2008	11	45	0
Gauge_1	4	10	2008	12	0	0
Gauge_1	4	10	2008	12	15	0
Gauge_1	4	10	2008	12	30	0
Gauge_1	4	10	2008	12	45	0
Gauge_1	4	10	2008	13	0	0
Gauge_1	4	10	2008	13	15	0
Gauge_1	4	10	2008	13	30	0
Gauge_1	4	10	2008	13	45	0
Gauge_1	4	10	2008	14	0	0
Gauge_1	4	10	2008	14	15	0
Gauge_1	4	10	2008	14	30	0
Gauge_1	4	10	2008	14	45	0
Gauge_1	4	10	2008	15	0	0
Gauge_1	4	10	2008	15	15	0
Gauge_1	4	10	2008	15	30	0
Gauge_1	4	10	2008	15	45	0
Gauge_1	4	10	2008	16	0	0
Gauge_1	4	10	2008	16	15	0
Gauge_1	4	10	2008	16	30	0
Gauge_1	4	10	2008	16	45	0
Gauge_1	4	10	2008	17	0	0
Gauge_1	4	10	2008	17	15	0
Gauge_1	4	10	2008	17	30	0
Gauge_1	4	10	2008	17	45	0
Gauge_1	4	10	2008	18	0	0
Gauge_1	4	10	2008	18	15	0
Gauge_1	4	10	2008	18	30	0
Gauge_1	4	10	2008	18	45	0
Gauge_1	4	10	2008	19	0	0
Gauge_1	4	10	2008	19	15	0
Gauge_1	4	10	2008	19	30	0
Gauge_1	4	10	2008	19	45	0
Gauge_1	4	10	2008	20	0	0
Gauge_1	4	10	2008	20	15	0
Gauge_1	4	10	2008	20	30	0
Gauge_1	4	10	2008	20	45	0
Gauge_1	4	10	2008	21	0	0
Gauge_1	4	10	2008	21	15	0
Gauge_1	4	10	2008	21	30	0
Gauge_1	4	10	2008	21	45	0
Gauge_1	4	10	2008	22	0	0
Gauge_1	4	10	2008	22	15	0
Gauge_1	4	10	2008	22	30	0
Gauge_1	4	10	2008	22	45	0
Gauge_1	4	10	2008	23	0	0
Gauge_1	4	10	2008	23	15	0
Gauge_1	4	10	2008	23	30	0
Gauge_1	4	10	2008	23	45	0
Gauge_1	4	11	2008	0	0	0
Gauge_1	4	11	2008	0	15	0
Gauge_1	4	11	2008	0	30	0
Gauge_1	4	11	2008	0	45	0
Gauge_1	4	11	2008	1	0	0
Gauge_1	4	11	2008	1	15	0
Gauge_1	4	11	2008	1	30	0
Gauge_1	4	11	2008	1	45	0
Gauge_1	4	11	2008	2	0	0
Gauge_1	4	11	2008	2	15	0
Gauge_1	4	11	2008	2	30	0
Gauge_1	4	11	2008	2	45	0.03
Gauge_1	4	11	2008	3	0	0.1
Gauge_1	4	11	2008	3	15	0.06
Gauge_1	4	11	2008	3	30	0.02
Gauge_1	4	11	2008	3	45	0.04
Gauge_1	4	11	2008	4	0	0.05
Gauge_1	4	11	2008	4	15	0.01
Gauge_1	4	11	2008	4	30	0.1
Gauge_1	4	11	2008	4	45	0.02
Gauge_1	4	11	2008	5	0	0.07
Gauge_1	4	11	2008	5	15	0.07
Gauge_1	4	11	2008	5	30	0.02
Gauge_1	4	11	2008	5	45	0.04
Gauge_1	4	11	2008	6	0	0.01
Gauge_1	4	11	2008	6	15	0
Gauge_1	4	11	2008	6	30	0.01
Gauge_1	4	11	2008	6	45	0.05
Gauge_1	4	11	2008	7	0	0.05
Gauge_1	4	11	2008	7	15	0.01
Gauge_1	4	11	2008	7	30	0
Gauge_1	4	11	2008	7	45	0
Gauge_1	4	11	2008	8	0	0.02
Gauge_1	4	11	2008	8	15	0.01
Gauge_1	4	11	2008	8	30	0
Gauge_1	4	11	2008	8	45	0
Gauge_1	4	11	2008	9	0	0
Gauge_1	4	11	2008	9	15	0
Gauge_1	4	11	2008	9	30	0
Gauge_1	4	11	2008	9	45	0
Gauge_1	4	11	2008	10	0	0
Gauge_1	4	11	2008	10	15	0
Gauge_1	4	11	2008	10	30	0
Gauge_1	4	11	2008	10	45	0
Gauge_1	4	11	2008	11	0	0
Gauge_1	4	11	2008	11	15	0
Gauge_1	4	11	2008	11	30	0
Gauge_1	4	11	2008	11	45	0.05
Gauge_1	4	11	2008	12	0	0.09
Gauge_1	4	11	2008	12	15	0.03
Gauge_1	4	11	2008	12	30	0.01
Gauge_1	4	11	2008	12	45	0
Gauge_1	4	11	2008	13	0	0
Gauge_1	4	11	2008	13	15	0
Gauge_1	4	11	2008	13	30	0
Gauge_1	4	11	2008	13	45	0
Gauge_1	4	11	2008	14	0	0
Gauge_1	4	11	2008	14	15	0
Gauge_1	4	11	2008	14	30	0
Gauge_1	4	11	2008	14	45	0
Gauge_1	4	11	2008	15	0	0
Gauge_1	4	11	2008	15	15	0
Gauge_1	4	11	2008	15	30	0
Gauge_1	4	11	2008	15	45	0
Gauge_1	4	11	2008	16	0	0
Gauge_1	4	11	2008	16	15	0
Gauge_1	4	11	2008	16	30	0
Gauge_1	4	11	2008	16	45	0
Gauge_1	4	11	2008	17	0	0
Gauge_1	4	11	2008	17	15	0
Gauge_1	4	11	2008	17	30	0
Gauge_1	4	11	2008	17	45	0
Gauge_1	4	11	2008	18	0	0
Gauge_1	4	11	2008	18	15	0
Gauge_1	4	11	2008	18	30	0
Gauge_1	4	11	2008	18	45	0
Gauge_1	4	11	2008	19	0	0
Gauge_1	4	11	2008	19	15	0
Gauge_1	4	11	2008	19	30	0
Gauge_1	4	11	2008	19	45	0
Gauge_1	4	11	2008	20	0	0
Gauge_1	4	11	2008	20	15	0
Gauge_1	4	11	2008	20	30	0
Gauge_1	4	11	2008	20	45	0
Gauge_1	4	11	2008	21	0	0
Gauge_1	4	11	2008	21	15	0
Gauge_1	4	11	2008	21	30	0
Gauge_1	4	11	2008	21	45	0
Gauge_1	4	11	2008	22	0	0
Gauge_1	4	11	2008	22	15	0
Gauge_1	4	11	2008	22	30	0
Gauge_1	4	11	2008	22	45	0
Gauge_1	4	11	2008	23	0	0
Gauge_1	4	11	2008	23	15	0
Gauge_1	4	11	2008	23	30	0
Gauge_1	4	11	2008	23	45	0
Gauge_1	4	12	2008	0	0	0
Gauge_1	4	12	2008	0	15	0
Gauge_1	4	12	2008	0	30	0
Gauge_1	4	12	2008	0	45	0
Gauge_1	4	12	2008	1	0	0
Gauge_1	4	12	2008	1	15	0
Gauge_1	4	12	2008	1	30	0
Gauge_1	4	12	2008	1	45	0
Gauge_1	4	12	2008	2	0	0
Gauge_1	4	12	2008	2	15	0
Gauge_1	4	12	2008	2	30	0
Gauge_1	4	12	2008	2	45	0
Gauge_1	4	12	2008	3	0	0
Gauge_1	4	12	2008	3	15	0
Gauge_1	4	12	2008	3	30	0
Gauge_1	4	12	2008	3	45	0
Gauge_1	4	12	2008	4	0	0
Gauge_1	4	12	2008	4	15	0
Gauge_1	4	12	2008	4	30	0
Gauge_1	4	12	2008	4	45	0
Gauge_1	4	12	2008	5	0	0
Gauge_1	4	12	2008	5	15	0
Gauge_1	4	12	2008	5	30	0
Gauge_1	4	12	2008	5	45	0
Gauge_1	4	12	2008	6	0	0
Gauge_1	4	12	2008	6	15	0
Gauge_1	4	12	2008	6	30	0
Gauge_1	4	12	2008	6	45	0
Gauge_1	4	12	2008	7	0	0
Gauge_1	4	12	2008	7	15	0
Gauge_1	4	12	2008	7	30	0
Gauge_1	4	12	2008	7	45	0
Gauge_1	4	12	2008	8	0	0
Gauge_1	4	12	2008	8	15	0
Gauge_1	4	12	2008	8	30	0
Gauge_1	4	12	2008	8	45	0
Gauge_1	4	12	2008	9	0	0
Gauge_1	4	12	2008	9	15	0
Gauge_1	4	12	2008	9	30	0
Gauge_1	4	12	2008	9	45	0
Gauge_1	4	12	2008	10	0	0
Gauge_1	4	12	2008	10	15	0
Gauge_1	4	12	2008	10	30	0
Gauge_1	4	12	2008	10	45	0
Gauge_1	4	12	2008	11	0	0
Gauge_1	4	12	2008	11	15	0
Gauge_1	4	12	2008	11	30	0
Gauge_1	4	12	2008	11	45	0
Gauge_1	4	12	2008	12	0	0
Gauge_1	4	12	2008	12	15	0
Gauge_1	4	12	2008	12	30	0
Gauge_1	4	12	2008	12	45	0
Gauge_1	4	12	2008	13	0	0
Gauge_1	4	12	2008	13	15	0
Gauge_1	4	12	2008	13	30	0
Gauge_1	4	12	2008	13	45	0
Gauge_1	4	12	2008	14	0	0
Gauge_1	4	12	2008	14	15	0
Gauge_1	4	12	2008	14	30	0
Gauge_1	4	12	2008	14	45	0
Gauge_1	4	12	2008	15	0	0
Gauge_1	4	12	2008	15	15	0
Gauge_1	4	12	2008	15	30	0
Gauge_1	4	12	2008	15	45	0
Gauge_1	4	12	2008	16	0	0
Gauge_1	4	12	2008	16	15	0
Gauge_1	4	12	2008	16	30	0
Gauge_1	4	12	2008	16	45	0
Gauge_1	4	12	2008	17	0	0
Gauge_1	4	12	2008	17	15	0
Gauge_1	4	12	2008	17	30	0
Gauge_1	4	12	2008	17	45	0
Gauge_1	4	12	2008	18	0	0
Gauge_1	4	12	2008	18	15	0
Gauge_1	4	12	2008	18	30	0
Gauge_1	4	12	2008	18	45	0
Gauge_1	4	12	2008	19	0	0
Gauge_1	4	12	2008	19	15	0
Gauge_1	4	12	2008	19	30	0
Gauge_1	4	12	2008	19	45	0
Gauge_1	4	12	2008	20	0	0
Gauge_1	4	12	2008	20	15	0
Gauge_1	4	12	2008	20	30	0
Gauge_1	4	12	2008	20	45	0
Gauge_1	4	12	2008	21	0	0
Gauge_1	4	12	2008	21	15	0
Gauge_1	4	12	2008	21	30	0
Gauge_1	4	12	2008	21	45	0
Gauge_1	4	12	2008	22	0	0
Gauge_1	4	12	2008	22	15	0
Gauge_1	4	12	2008	22	30	0
Gauge_1	4	12	2008	22	45	0
Gauge_1	4	12	2008	23	0	0
Gauge_1	4	12	2008	23	15	0
Gauge_1	4	12	2008	23	30	0
Gauge_1	4	12	2008	23	45	0
Gauge_1	4	13	2008	0	0	0
Gauge_1	4	13	2008	0	15	0
Gauge_1	4	13	2008	0	30	0
Gauge_1	4	13	2008	0	45	0
Gauge_1	4	13	2008	1	0	0
Gauge_1	4	13	2008	1	15	0
Gauge_1	4	13	2008	1	30	0
Gauge_1	4	13	2008	1	45	0
Gauge_1	4	13	2008	2	0	0
Gauge_1	4	13	2008	2	15	0
Gauge_1	4	13	2008	2	30	0
Gauge_1	4	13	2008	2	45	0
Gauge_1	4	13	2008	3	0	0
Gauge_1	4	13	2008	3	15	0
Gauge_1	4	13	2008	3	30	0
Gauge_1	4	13	2008	3	45	0
Gauge_1	4	13	2008	4	0	0
Gauge_1	4	13	2008	4	15	0
Gauge_1	4	13	2008	4	30	0
Gauge_1	4	13	2008	4	45	0
Gauge_1	4	13	2008	5	0	0
Gauge_1	4	13	2008	5	15	0
Gauge_1	4	13	2008	5	30	0
Gauge_1	4	13	2008	5	45	0
Gauge_1	4	13	2008	6	0	0
Gauge_1	4	13	2008	6	15	0
Gauge_1	4	13	2008	6	30	0
Gauge_1	4	13	2008	6	45	0
Gauge_1	4	13	2008	7	0	0
Gauge_1	4	13	2008	7	15	0
Gauge_1	4	13	2008	7	30	0
Gauge_1	4	13	2008	7	45	0
Gauge_1	4	13	2008	8	0	0
Gauge_1	4	13	2008	8	15	0
Gauge_1	4	13	2008	8	30	0
Gauge_1	4	13	2008	8	45	0
Gauge_1	4	13	2008	9	0	0
Gauge_1	4	13	2008	9	15	0
Gauge_1	4	13	2008	9	30	0
Gauge_1	4	13	2008	9	45	0
Gauge_1	4	13	2008	10	0	0
Gauge_1	4	13	2008	10	15	0
Gauge_1	4	13	2008	10	30	0
Gauge_1	4	13	2008	10	45	0
Gauge_1	4	13	2008	11	0	0
Gauge_1	4	13	2008	11	15	0
Gauge_1	4	13	2008	11	30	0
Gauge_1	4	13	2008	11	45	0
Gauge_1	4	13	2008	12	0	0
Gauge_1	4	13	2008	12	15	0
Gauge_1	4	13	2008	12	30	0
Gauge_1	4	13	2008	12	45	0
Gauge_1	4	13	2008	13	0	0
Gauge_1	4	13	2008	13	15	0
Gauge_1	4	13	2008	13	30	0
Gauge_1	4	13	2008	13	45	0
Gauge_1	4	13	2008	14	0	0
Gauge_1	4	13	2008	14	15	0
Gauge_1	4	13	2008	14	30	0
Gauge_1	4	13	2008	14	45	0
Gauge_1	4	13	2008	15	0	0
Gauge_1	4	13	2008	15	15	0
Gauge_1	4	13	2008	15	30	0
Gauge_1	4	13	2008	15	45	0
Gauge_1	4	13	2008	16	0	0
Gauge_1	4	13	2008	16	15	0
Gauge_1	4	13	2008	16	30	0
Gauge_1	4	13	2008	16	45	0
Gauge_1	4	13	2008	17	0	0.01
Gauge_1	4	13	2008	17	15	0
Gauge_1	4	13	2008	17	30	0
Gauge_1	4	13	2008	17	45	0
Gauge_1	4	13	2008	18	0	0
Gauge_1	4	13	2008	18	15	0
Gauge_1	4	13	2008	18	30	0.01
Gauge_1	4	13	2008	18	45	0.01
Gauge_1	4	13	2008	19	0	0
Gauge_1	4	13	2008	19	15	0
Gauge_1	4	13	2008	19	30	0
Gauge_1	4	13	2008	19	45	0
Gauge_1	4	13	2008	20	0	0
Gauge_1	4	13	2008	20	15	0
Gauge_1	4	13	2008	20	30	0
Gauge_1	4	13	2008	20	45	0
Gauge_1	4	13	2008	21	0	0
Gauge_1	4	13	2008	21	15	0
Gauge_1	4	13	2008	21	30	0
Gauge_1	4	13	2008	21	45	0
Gauge_1	4	13	2008	22	0	0
Gauge_1	4	13	2008	22	15	0
Gauge_1	4	13	2008	22	30	0
Gauge_1	4	13	2008	22	45	0
Gauge_1	4	13	2008	23	0	0
Gauge_1	4	13	2008	23	15	0
Gauge_1	4	13	2008	23	30	0
Gauge_1	4	13	2008	23	45	0
Gauge_1	4	14	2008	0	0	0
Gauge_1	4	14	2008	0	15	0
Gauge_1	4	14	2008	0	30	0
Gauge_1	4	14	2008	0	45	0
Gauge_1	4	14	2008	1	0	0
Gauge_1	4	14	2008	1	15	0
Gauge_1	4	14	2008	1	30	0
Gauge_1	4	14	2008	1	45	0.01
Gauge_1	4	14	2008	2	0	0.03
Gauge_1	4	14	2008	2	15	0
Gauge_1	4	14	2008	2	30	0
Gauge_1	4	14	2008	2	45	0
Gauge_1	4	14	2008	3	0	0
Gauge_1	4	14	2008	3	15	0
Gauge_1	4	14	2008	3	30	0
Gauge_1	4	14	2008	3	45	0
Gauge_1	4	14	2008	4	0	0
Gauge_1	4	14	2008	4	15	0
Gauge_1	4	14	2008	4	30	0
Gauge_1	4	14	2008	4	45	0
Gauge_1	4	14	2008	5	0	0
Gauge_1	4	14	2008	5	15	0
Gauge_1	4	14	2008	5	30	0
Gauge_1	4	14	2008	5	45	0
Gauge_1	4	14	2008	6	0	0
Gauge_1	4	14	2008	6	15	0
Gauge_1	4	14	2008	6	30	0
Gauge_1	4	14	2008	6	45	0
Gauge_1	4	14	2008	7	0	0
Gauge_1	4	14	2008	7	15	0
Gauge_1	4	14	2008	7	30	0
Gauge_1	4	14	2008	7	45	0
Gauge_1	4	14	2008	8	0	0
Gauge_1	4	14	2008	8	15	0
Gauge_1	4	14	2008	8	30	0
Gauge_1	4	14	2008	8	45	0
Gauge_1	4	14	2008	9	0	0
Gauge_1	4	14	2008	9	15	0
Gauge_1	4	14	2008	9	30	0
Gauge_1	4	14	2008	9	45	0
Gauge_1	4	14	2008	10	0	0
Gauge_1	4	14	2008	10	15	0
Gauge_1	4	14	2008	10	30	0
Gauge_1	4	14	2008	10	45	0
Gauge_1	4	14	2008	11	0	0
Gauge_1	4	14	2008	11	15	0
Gauge_1	4	14	2008	11	30	0
Gauge_1	4	14	2008	11	45	0
Gauge_1	4	14	2008	12	0	0
Gauge_1	4	14	2008	12	15	0
Gauge_1	4	14	2008	12	30	0
Gauge_1	4	14	2008	12	45	0
Gauge_1	4	14	2008	13	0	0
Gauge_1	4	14	2008	13	15	0
Gauge_1	4	14	2008	13	30	0
Gauge_1	4	14	2008	13	45	0
Gauge_1	4	14	2008	14	0	0
Gauge_1	4	14	2008	14	15	0
Gauge_1	4	14	2008	14	30	0
Gauge_1	4	14	2008	14	45	0
Gauge_1	4	14	2008	15	0	0
Gauge_1	4	14	2008	15	15	0
Gauge_1	4	14	2008	15	30	0
Gauge_1	4	14	2008	15	45	0
Gauge_1	4	14	2008	16	0	0
Gauge_1	4	14	2008	16	15	0
Gauge_1	4	14	2008	16	30	0
Gauge_1	4	14	2008	16	45	0
Gauge_1	4	14	2008	17	0	0
Gauge_1	4	14	2008	17	15	0
Gauge_1	4	14	2008	17	30	0
Gauge_1	4	14	2008	17	45	0
Gauge_1	4	14	2008	18	0	0
Gauge_1	4	14	2008	18	15	0
Gauge_1	4	14	2008	18	30	0
